id,make,model,trim,type,year,price,condition,engineType,engineCapacity,horsepower,transmission,fuelEfficiency,driveType,seatingCapacity,colors,features,imageUrl,createdAt,updatedAt
1,KIA,K5,"GT-Line AWD","Midsize Sedan",2024,32990,New,Gas,"1.6L Turbo","180 HP","8-speed Automatic","25 mpg (city) / 33 mpg (highway)","All-Wheel Drive (AWD)",5,"Glacier White Pearl, Ebony Black, Passion Red, Wolf Gray","10.25" touchscreen, wireless phone charging, heated front seats, lane-keeping assist, smart cruise control, dual-zone climate control",https://www.mad4wheels.com/img/free-car-images/desktop/20917/kia-k5-2025-753044.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
2,KIA,Telluride,"SX Prestige X-Line AWD","Full-Size SUV",2024,52985,New,Gas,3.8L,"291 HP","8-speed automatic","19 mpg (city) / 24 mpg (highway)","All-Wheel Drive (AWD)",7,"Glacial White Pearl, Dark Moss, Ebony Black","Panoramic sunroof, leather upholstery, adaptive cruise control, 10.25" touchscreen, heated/ventilated seats, blind-spot monitoring",https://www.mad4wheels.com/img/free-car-images/desktop/19549/kia-telluride-2023-670650.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
3,KIA,EV6,"Wind AWD","Electric SUV",2024,51850,New,Electric,"77.4 kWh Battery","320 hp",Single-speed,"97 MPGe (city) / 82 MPGe (highway)","All-Wheel Drive (AWD)",5,"Glacier, Steel Matte Gray, Aurora Black Pearl","12.3" dual displays, heated seats, wireless charging, advanced driver assistance, surround-view monitor",https://www.mad4wheels.com/img/free-car-images/desktop/21278/kia-ev6-gt-line-uk-version-2025-773127.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
4,KIA,Sportage,"X-Pro Prestige AWD","Compact SUV",2024,38990,New,Gas,2.5L,"187 hp","8-speed automatic","23 mpg (city) / 28 mpg (highway)","All-Wheel Drive (AWD)",5,"Ebony Black, Jungle Green, Wolf Gray","12.3" digital display, panoramic sunroof, heated/ventilated seats, off-road capability, smart cruise control",https://www.mad4wheels.com/img/free-car-images/desktop/19209/kia-sportage-x-pro-usa-version-2023-649047.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
5,KIA,Stinger,"GT2 AWD","Sport Sedan",2023,52895,New,Gas,"3.3L Twin-Turbo","368 hp","8-speed automatic","17 mpg (city) / 24 mpg (highway)","All-Wheel Drive (AWD)",5,"Micro Blue, Panthera Metal, HiChroma Red","Harman Kardon audio, Nappa leather seats, adaptive suspension, 10.25" touchscreen, head-up display",https://www.mad4wheels.com/img/free-car-images/desktop/18761/kia-stinger-gt-2022-624740.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
6,KIA,Sorento,"SX Prestige Hybrid AWD","Midsize Hybrid SUV",2024,47485,New,Hybrid,"1.6L Turbo","227 hp","6-speed automatic","39 mpg (city) / 35 mpg (highway)","All-Wheel Drive (AWD)",6,"Sapphire Blue, Everlasting Silver, Ebony Black","Panoramic sunroof, heated/ventilated front seats, smart power liftgate, 10.25" touchscreen, wireless Apple CarPlay",https://www.mad4wheels.com/img/free-car-images/desktop/18345/kia-sorento-sx-usa-version-2021-601253.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
7,KIA,Forte,GT-Line,"Midsize Sedan",2024,25390,New,Gas,2.0L,"147 hp","Intelligent Variable Transmission (IVT)","31 mpg (city) / 41 mpg (highway)","Front-Wheel Drive (FWD)",5,"Fire Orange, Snow White Pearl, Gravity Gray, Currant Red","10.25" touchscreen, wireless phone charging, rear parking sensors, lane-keeping assist, dual-zone climate control",https://www.mad4wheels.com/img/free-car-images/desktop/19181/kia-forte-2022-647259.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
8,KIA,EV9,"GT-Line AWD","Electric SUV",2024,70000,New,Electric,"77.4 kWh battery","Est. 300 hp",Single-speed,TBD,"All-Wheel Drive (AWD)",7,"Snow White Pearl, Aurora Black, Glacier","Advanced driver assistance, large touchscreen displays, over-the-air updates, panoramic sunroof",https://www.mad4wheels.com/img/free-car-images/desktop/20257/kia-ev9-gt-line-2024-716954.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
9,Honda,Accord,LX,Sedan,2024,28295,New,Gas,1.5L,"192 HP",Automatic,"29 city / 37 highway",Front-Wheel,5,"Red; Black; Grey","Security System with Remote Entry and Trunk Release;Smart Entry with Walk Away Auto Lock;One-Touch Power Moonroof with Tilt Feature",https://www.mad4wheels.com/img/free-car-images/mobile/19994/honda-accord-usa-version-2023-696885.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
10,"Honda ",Civic,Sport,Sedan,2024,27450,New,Gas,1.5L,"150 HP",Automatic,"30 city / 38 highway",Front-Wheel,5,Black;Silver;Grey;Red,"Bluetooth; Cruise Control; Lane Assist; Backup Camera;Apple CarPlay; Adaptive Cruise Control; Heated Seats",https://www.mad4wheels.com/img/free-car-images/mobile/21134/honda-civic-2025-765235.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
11,"Honda ",HR-V,LX,SUV,2024,25400,New,Gas,1.5L,"158 HP",Automatic,"26 city / 32 highway",All-Wheel,5,Black;Silver;Grey;Red,"Bluetooth; Cruise Control; Lane Assist; Backup Camera;Apple CarPlay; Adaptive Cruise Control; Heated Seats;Autopilot; Fast Charging; Full Self-Driving Capability",https://www.mad4wheels.com/img/free-car-images/mobile/19523/honda-hr-v-2023-678331.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
12,Honda,CR-V,LX,SUV,2024,30100,New,Gas,1.5L,"190 HP",Automatic,"28 city / 34 higiway",All-Wheel,5,Black;Silver;Grey;Red,"Bluetooth; Cruise Control; Lane Assist; Backup Camera;Apple CarPlay; Adaptive Cruise Control; Heated Seats;Autopilot; Fast Charging; Full Self-Driving Capability",https://www.mad4wheels.com/img/free-car-images/mobile/20957/honda-cr-v-efcev-usa-version-2025-754956.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
13,Honda,Pilot,EX,SUV,2024,40200,New,Gas,3.5L,"285 HP",Automatic,"19 city / 27 highway","2WD/ All-Wheel",8,Black;Silver;Grey;Red,"Bluetooth; Cruise Control; Lane Assist; Backup Camera;Apple CarPlay; Adaptive Cruise Control; Heated Seats;Autopilot; Fast Charging; Full Self-Driving Capability",https://www.mad4wheels.com/img/free-car-images/mobile/19976/honda-pilot-elite-2023-703871.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
14,Honda,Passport,EX,SUV,2024,42400,New,Gas,3.5L,"280 HP",Automatic,"19 city / 24 highway",All-Wheel,8,Black;Silver;Grey;Red,"Bluetooth; Cruise Control; Lane Assist; Backup Camera;Apple CarPlay; Adaptive Cruise Control; Heated Seats;Autopilot; Fast Charging; Full Self-Driving Capability",https://www.mad4wheels.com/img/free-car-images/mobile/20708/honda-passport-black-edition-2024-740954.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
15,Honda,Prologue,EXL,SUV,2024,47400,New,Gas,3.5L,"285 HP",Automatic,"20 city / 28 highway",Front-Wheel,5,"White; Black; Grey; Blue","Leather Upholstery; Navigation System; Blind Spot Monitoring; Rear Cross Traffic Alert; Dual-Zone Automatic Climate Control; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/19897/honda-prologue-2024-737927.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
16,Honda,Odyssey,EX,Minivan,2024,37340,New,Gas,3.5L,"280 HP",Automatic,"19 city / 28 highway",Front-Wheel,7,"White; Silver; Black; Blue","Blind Spot Monitoring; Rear Cross Traffic Alert; Navigation System; Dual-Zone Automatic Climate Control; Leather Upholstery; Power Sliding Doors; DVD Entertainment System",https://www.mad4wheels.com/img/free-car-images/mobile/21230/honda-odyssey-2025-770690.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
17,Honda,"Civic Hybrid",EX,Sedan,2024,29500,New,Gas/Electric,2.0L,"158 HP",Automatic,"40 city / 43 highway",Front-Wheel,5,"White; Black; Silver; Blue","Adaptive Cruise Control; Lane Keep Assist; Blind Spot Monitoring; Apple CarPlay; Android Auto; Dual-Zone Automatic Climate Control;",https://www.mad4wheels.com/img/free-car-images/mobile/21229/honda-civic-si-2025-770678.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
18,Honda,"Accord Hybrid",EX-L,Sedan,2024,33000,New,Gas/Electric,2.0L,"212 HP",Automatic,"48 city / 47 highway",Front-Wheel,5,"White; Black; Silver; Blue","Leather Upholstery; Navigation System; Adaptive Cruise Control; Lane Keeping Assist; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/18401/honda-accord-hybrid-usa-version-2021-605119.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
19,Honda,"CR-V e:FCEV",NULL,SEDAN,2024,42000,New,"Hydrogen Fuel Cell",2.0L,"200 HP",Automatic,"74 MPGe (estimated)",All-Wheel,5,"White; Black; Silver; Green","Adaptive Cruise Control; Lane Keeping Assist; Blind Spot Monitoring; Navigation System; Apple CarPlay; Android Auto;",https://www.mad4wheels.com/img/free-car-images/mobile/20669/honda-cr-v-ehev-2023-737781.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
20,BMW,"3 Series",330i,Sedan,2023,41450,New,Gas,"2.0 liter","255 HP","8-speed automatic","26 city / 36 highway","Rear-wheel drive (RWD)",5,"Alpine White; Jet Black; Mineral White Metallic; Melbourne Red Metallic","LED headlights; Apple CarPlay; Android Auto; Navigation system",https://www.mad4wheels.com/img/free-car-images/desktop/16719/bmw-330i-g20--2019-526663.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
21,BMW,"5 Series",530e,Hybrid,2023,55550,New,Gas/Electric,"2.0 liters","288 HP","8-speed automatic","64 MPGe (combined)","Rear-wheel drive (RWD)",5,"Alpine White; Black Sapphire Metallic; Phytonic Blue Metallic","Plug-in hybrid technology; adaptive cruise control; lane-keeping assist",https://www.mad4wheels.com/img/free-car-images/desktop/20909/bmw-530e-g61-touring-2025-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
22,BMW,X5,xDrive40i,SUV,2023,61700,New,Gas,"3.0 liters","335 HP","8-speed automatic","21 city / 25 highway","All-wheel drive (AWD)",5,"Alpine White; Jet Black; Phytonic Blue Metallic","Panoramic moonroof; navigation system; advanced safety features",https://www.mad4wheels.com/img/free-car-images/desktop/20183/bmw-x5-f95-m-competition-2024-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
23,BMW,X3,sDrive30i,SUV,2023,43700,New,Gas,"2.0 liters","248 HP","8-speed automatic","25 city / 29 highway","Rear-wheel drive (RWD)",5,"Alpine White; Jet Black; Glacier Silver Metallic","Navigation; Apple CarPlay; driver assistance features",https://www.mad4wheels.com/img/free-car-images/desktop/21177/bmw-x3-g45-20-xdrive-2025-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
24,BMW,i4,eDrive40,Sedan,2023,55400,New,Electric,NULL,"335 HP","Single-speed automatic","109 MPGe (combined)","Rear-wheel drive (RWD)",5,"Alpine White; Black Sapphire Metallic","Electric vehicle; advanced infotainment system; regenerative braking",https://www.mad4wheels.com/img/free-car-images/desktop/21084/bmw-i4-g26-edrive40-2025-thumb.jpg,"2024-10-10 15:38:05","2024-10-10 15:38:05"
